course_no,course_name,dept_code,dept_name,completion_type_code,completion_type,first_year,first_term,latest_year,latest_term,section_count
APS1006,창조적사고와글쓰기,H0003958,산업융합학부,111,교양필수,2024,2,2025,2,16
APS1006,창조적사고와글쓰기,H0005238,산업융합학부,111,교양필수,2026,2,2026,2,4
APS1007,영어토론과발표,H0003958,산업융합학부,111,교양필수,2024,2,2025,2,28
APS1007,영어토론과발표,H0005238,산업융합학부,111,교양필수,2026,2,2026,2,7
APS1008,과학기술의철학적탐색,H0003958,산업융합학부,111,교양필수,2024,2,2025,2,16
APS1008,과학기술의철학적탐색,H0005238,산업융합학부,111,교양필수,2026,2,2026,2,4
APS1009,산업융합입문,H0003958,산업융합학부,727,전공기초(필수),2024,1,2025,1,6
APS1009,산업융합입문,H0005238,서울 기술혁신대학 산업융합학부,727,전공기초(필수),2026,1,2026,1,1
APS1010,산업융합수학,H0003958,산업융합학부,727,전공기초(필수),2024,2,2025,2,12
APS1010,산업융합수학,H0005238,산업융합학부,727,전공기초(필수),2026,2,2026,2,3
APS2001,확률및통계1,H0005007,경영공학전공,727,전공기초(필수),2024,1,2026,1,6
APS2001,확률및통계1,H0005008,정보공학전공,727,전공기초(필수),2024,1,2026,1,3
APS2002,기술경영입문,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,3
APS2003,경제성공학론,H0005007,경영공학전공,727,전공기초(필수),2024,1,2026,1,3
APS2004,인간심리와경험,H0005008,정보공학전공,721,전공핵심,2024,1,2026,1,6
APS2005,확률및통계2,H0005008,정보공학전공,721,전공핵심,2024,2,2025,2,3
APS2005,확률및통계2,H0005240,정보공학전공,721,전공핵심,2026,2,2026,2,2
APS2007,정보시각화,H0005008,정보공학전공,721,전공핵심,2024,2,2024,2,2
APS2007,정보시각화,H0005012,데이터융합서비스디자인융합전공,721,전공핵심,2025,2,2025,2,1
APS2008,경제학개론,H0005007,경영공학전공,721,전공핵심,2024,2,2025,2,2
APS2008,경제학개론,H0005239,경영공학전공,721,전공핵심,2026,2,2026,2,1
APS2010,사회기술시스템,H0005007,경영공학전공,721,전공핵심,2024,2,2025,2,4
APS2010,사회기술시스템,H0005239,경영공학전공,721,전공핵심,2026,2,2026,2,2
APS2011,마케팅원리,H0005007,경영공학전공,721,전공핵심,2025,2,2025,2,1
APS2011,마케팅원리,H0005239,경영공학전공,721,전공핵심,2026,2,2026,2,2
APS3001,수리최적화,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,3
APS3001,수리최적화,H0005008,정보공학전공,721,전공핵심,2026,1,2026,1,1
APS3002,생산운영관리론,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,5
APS3003,디자인혁신경영,H0005008,정보공학전공,721,전공핵심,2024,1,2025,1,2
APS3003,디자인혁신경영,H0005008,정보공학전공,722,전공심화,2024,1,2025,1,2
APS3005,기술혁신전략,H0005007,경영공학전공,721,전공핵심,2024,2,2025,2,3
APS3005,기술혁신전략,H0005007,경영공학전공,722,전공심화,2024,2,2024,2,1
APS3005,기술혁신전략,H0005239,경영공학전공,721,전공핵심,2026,2,2026,2,2
APS3007,시계열및인공지능예측,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,2
APS3007,시계열및인공지능예측,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,3
APS3009,인간중심디자인,H0005008,정보공학전공,722,전공심화,2024,2,2024,2,1
APS3011,회계학원론,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,3
APS3013,서비스경영,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,2
APS3013,서비스경영,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,3
APS3014,프로세스매니지먼트,H0005008,정보공학전공,721,전공핵심,2024,1,2026,1,3
APS3015,품질경영,H0005007,경영공학전공,721,전공핵심,2024,1,2024,1,1
APS3016,전략경영,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,3
APS3017,e-비즈니스,H0005008,정보공학전공,722,전공심화,2024,2,2025,2,2
APS3019,하이테크마케팅,H0005007,경영공학전공,721,전공핵심,2024,1,2026,1,3
APS3020,사이버물리시스템(캡스톤디자인),H0005008,정보공학전공,722,전공심화,2024,1,2026,1,3
APS3021,기술사업화,H0005007,경영공학전공,722,전공심화,2024,2,2026,1,4
APS3022,지속가능경영시스템,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,2
APS3022,지속가능경영시스템,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,1
APS3023,기술금융,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,1
APS4002,공급망관리,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,2
APS4002,공급망관리,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,1
APS4006,경영공학창의설계,H0005007,경영공학전공,722,전공심화,2024,1,2026,1,6
APS4008,프로젝트관리론,H0005007,경영공학전공,721,전공핵심,2024,1,2025,1,2
APS4012,경영공학종합설계,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,4
APS4012,경영공학종합설계,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,2
APS4016,사회혁신의이해,H0004318,사회혁신융합전공,721,전공핵심,2024,1,2026,1,3
APS4019,글로벌혁신시스템,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,4
APS4019,글로벌혁신시스템,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,2
APS4020,지식재산경영,H0005007,경영공학전공,722,전공심화,2024,1,2026,1,5
APS4021,산업문제해결컨설팅,H0005007,경영공학전공,722,전공심화,2024,2,2025,2,4
APS4021,산업문제해결컨설팅,H0005239,경영공학전공,722,전공심화,2026,2,2026,2,2
APS4022,비즈니스모델디자인,H0005007,경영공학전공,722,전공심화,2024,1,2026,1,6
ARD2001,주거론,H0002886,건축학부,722,전공심화,2024,1,2026,1,3
ARD2052,건축환경공학,H0002521,건축공학부,721,전공핵심,2024,1,2026,1,3
ARD2052,건축환경공학,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARD3005,서양건축사,H0002886,건축학부,721,전공핵심,2024,2,2026,2,3
ARD3063,건축계획,H0002886,건축학부,727,전공기초(필수),2024,1,2026,1,3
ARD4005,한국건축사,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARD4012,건축기획,H0002886,건축학부,721,전공핵심,2024,1,2026,1,3
ARE1056,기초표현,H0002886,건축학부,727,전공기초(필수),2024,1,2025,1,5
