course_no,course_name,parse_status,grade_row_count,term_count,department_count,latest_year,latest_term,pdf_path,pdf_exists,issues
PER1001,수행인문학논술,ok,37,5,6,2015,1,outputs/pdfs_full/국어국문학과__PER1001__수행인문학논술.pdf,yes,
PER2001,STS란무엇인가,ok,12,5,2,2016,1,outputs/pdfs_full/STS(과학기술학)전공__PER2001__STS란무엇인가.pdf,yes,
PER2002,과학기술과문화,ok,19,5,2,2016,1,outputs/pdfs_full/STS(과학기술학)전공__PER2002__과학기술과문화.pdf,yes,
PER2003,현대과학기술의윤리적쟁점,ok,12,5,2,2015,2,outputs/pdfs_full/STS(과학기술학)전공__PER2003__현대과학기술의윤리적쟁점.pdf,yes,
PER2004,한국근현대과학기술사,ok,17,5,2,2016,2,outputs/pdfs_full/STS(과학기술학)전공__PER2004__한국근현대과학기술사.pdf,yes,
PER2006,한자문화의이해,ok,22,5,1,2014,2,outputs/pdfs_full/공공수행인문학전공__PER2006__한자문화의이해.pdf,yes,
PER2007,한국문화사론,ok,27,5,1,2017,2,outputs/pdfs_full/공공수행인문학전공__PER2007__한국문화사론.pdf,yes,
PER2008,문화이론의쟁점과미디어읽기,ok,20,5,1,2018,1,outputs/pdfs_full/미디어문화전공__PER2008__문화이론의쟁점과미디어읽기.pdf,yes,
PER2009,미디어와이미지,ok,16,5,1,2016,1,outputs/pdfs_full/미디어문화전공__PER2009__미디어와이미지.pdf,yes,
PER2010,드라마를통한미국문화읽기,ok,18,5,1,2017,2,outputs/pdfs_full/미디어문화전공__PER2010__드라마를통한미국문화읽기.pdf,yes,
PER2011,통번역입문,ok,28,5,1,2016,2,outputs/pdfs_full/중국어커뮤니케이션전공__PER2011__통번역입문.pdf,yes,
PER2012,한국어의이해와활용,ok,20,5,1,2016,1,outputs/pdfs_full/중국어커뮤니케이션전공__PER2012__한국어의이해와활용.pdf,yes,
PER2013,커뮤니케이션입문,ok,28,5,1,2016,2,outputs/pdfs_full/중국어커뮤니케이션전공__PER2013__커뮤니케이션입문.pdf,yes,
PER2015,영어커뮤니케이션기초,ok,17,5,1,2018,1,outputs/pdfs_full/영어커뮤니케이션전공__PER2015__영어커뮤니케이션기초.pdf,yes,
PER2016,영어커뮤니케이션연습,ok,17,5,1,2017,2,outputs/pdfs_full/영어커뮤니케이션전공__PER2016__영어커뮤니케이션연습.pdf,yes,
PER2017,중국어커뮤니케이션기초,not_found,0,0,1,,,outputs/pdfs_full/중국어커뮤니케이션전공__PER2017__중국어커뮤니케이션기초.pdf,yes,missing_grade_rows
PER2018,중국어커뮤니케이션연습,not_found,0,0,1,,,outputs/pdfs_full/중국어커뮤니케이션전공__PER2018__중국어커뮤니케이션연습.pdf,yes,missing_grade_rows
PER2019,한국어작문,ok,28,5,1,2026,1,outputs/pdfs_full/한중통번역전공__PER2019__한국어작문.pdf,yes,
PER2020,문화콘텐츠산업과마케팅,ok,23,5,1,2016,2,outputs/pdfs_full/미디어문화전공__PER2020__문화콘텐츠산업과마케팅.pdf,yes,
PER2021,한국사회와문화,ok,15,5,1,2026,1,outputs/pdfs_full/한중통번역전공__PER2021__한국사회와문화.pdf,yes,
PER2022,시장경제의이해,ok,13,4,1,2025,2,outputs/pdfs_full/통상한국어커뮤니케이션전공__PER2022__시장경제의이해.pdf,yes,
PER2023,한국기업의이해,ok,19,5,1,2024,2,outputs/pdfs_full/통상한국어커뮤니케이션전공__PER2023__한국기업의이해.pdf,yes,
PER2024,CRITICAL READING,ok,17,5,1,2017,1,outputs/pdfs_full/영어커뮤니케이션전공__PER2024__CRITICAL_READING.pdf,yes,
PER2025,Identity and Global Arguments,ok,18,5,1,2018,1,outputs/pdfs_full/글로벌비즈니스문화전공(영어전용)__PER2025__Identity_and_Global_Arguments.pdf,yes,
PER2026,KOREA IN GLOBAL CONTEXT,ok,13,5,2,2026,1,outputs/pdfs_full/정치외교학과__PER2026__KOREA_IN_GLOBAL_CONTEXT.pdf,yes,
PER2027,GLOBAL SOCIETY AND LANGUAGE,ok,18,5,1,2019,2,outputs/pdfs_full/영어커뮤니케이션전공__PER2027__GLOBAL_SOCIETY_AND_LANGUAGE.pdf,yes,
PER2028,INTERNATIONAL ORGANIZATIONS AND THE NGOs,ok,14,4,1,2018,2,outputs/pdfs_full/글로벌비즈니스문화전공(영어전용)__PER2028__INTERNATIONAL_ORGANIZATIONS_AND_THE_NGOs.pdf,yes,
PER2032,판타지와서사,ok,21,5,1,2015,2,outputs/pdfs_full/미디어문화전공__PER2032__판타지와서사.pdf,yes,
PER2033,GLOBAL BUSINESS COMMUNICATION,ok,27,5,1,2024,1,outputs/pdfs_full/영어커뮤니케이션전공__PER2033__GLOBAL_BUSINESS_COMMUNICATION.pdf,yes,
PER2034,GLOBAL BUSINESS COOPERATION,ok,17,5,1,2018,1,outputs/pdfs_full/글로벌비즈니스문화전공(영어전용)__PER2034__GLOBAL_BUSINESS_COOPERATION.pdf,yes,
PER2035,KOREAN CINEMA AND MODERNIZATION,ok,27,5,1,2023,2,outputs/pdfs_full/글로벌비즈니스문화전공(영어전용)__PER2035__KOREAN_CINEMA_AND_MODERNIZATION.pdf,yes,
PER2036,융합적사고를위한인문고전읽기,ok,25,4,1,2017,2,outputs/pdfs_full/STS(과학기술학)전공__PER2036__융합적사고를위한인문고전읽기.pdf,yes,
PER2037,한류와한국대중문화,ok,13,4,1,2025,2,outputs/pdfs_full/한중통번역전공__PER2037__한류와한국대중문화.pdf,yes,
PER2038,한중커뮤니케이션기초,ok,14,4,1,2017,1,outputs/pdfs_full/한중통번역전공__PER2038__한중커뮤니케이션기초.pdf,yes,
PER2039,한중커뮤니케이션연습,ok,7,2,1,2015,2,outputs/pdfs_full/한중통번역전공__PER2039__한중커뮤니케이션연습.pdf,yes,
PER2048,멀티미디어활용영어학습기초,ok,5,1,1,2017,1,outputs/pdfs_full/영어커뮤니케이션전공__PER2048__멀티미디어활용영어학습기초.pdf,yes,
PER2050,멀티미디어활용영어학습응용,ok,4,1,1,2017,2,outputs/pdfs_full/영어커뮤니케이션전공__PER2050__멀티미디어활용영어학습응용.pdf,yes,
PER2051,Cultural Crossings in the Global Age,ok,10,3,1,2020,1,outputs/pdfs_full/영어커뮤니케이션전공__PER2051__Cultural_Crossings_in_the_Global_Age.pdf,yes,
PER2054,한중커뮤니케이션기초1,not_found,0,0,1,,,outputs/pdfs_full/한중통번역전공__PER2054__한중커뮤니케이션기초1.pdf,yes,missing_grade_rows
PER2055,중국어통역기초1,not_found,0,0,1,,,outputs/pdfs_full/한중통번역전공__PER2055__중국어통역기초1.pdf,yes,missing_grade_rows
PER2056,한국어통역기초1,not_found,0,0,1,,,outputs/pdfs_full/한중통번역전공__PER2056__한국어통역기초1.pdf,yes,missing_grade_rows
PER2057,중국어통역기초2,ok,6,1,1,2017,2,outputs/pdfs_full/한중통번역전공__PER2057__중국어통역기초2.pdf,yes,
PER2058,한국어통역기초2,ok,3,1,1,2017,2,outputs/pdfs_full/한중통번역전공__PER2058__한국어통역기초2.pdf,yes,
PER2059,한중커뮤니케이션기초2,ok,4,1,1,2017,2,outputs/pdfs_full/한중통번역전공__PER2059__한중커뮤니케이션기초2.pdf,yes,
PER2060,지능기술시대를위한과학철학,ok,9,4,2,2025,2,outputs/pdfs_full/STS(과학기술학)전공__PER2060__지능기술시대를위한과학철학.pdf,yes,
PER2061,"스마트시대의문자,구술,영상",ok,23,4,2,2025,2,"outputs/pdfs_full/STS(과학기술학)전공__PER2061__스마트시대의문자,구술,영상.pdf",yes,
PER2063,신화와원형의스토리텔링,ok,11,4,2,2025,2,outputs/pdfs_full/미디어문화전공__PER2063__신화와원형의스토리텔링.pdf,yes,
PER3001,동양의과학기술사상,ok,13,5,2,2017,1,outputs/pdfs_full/STS(과학기술학)전공__PER3001__동양의과학기술사상.pdf,yes,
PER3002,과학기술커뮤니케이션,ok,22,5,2,2016,1,outputs/pdfs_full/STS(과학기술학)전공__PER3002__과학기술커뮤니케이션.pdf,yes,
PER3003,STS특강,ok,15,5,2,2015,2,outputs/pdfs_full/STS(과학기술학)전공__PER3003__STS특강.pdf,yes,
PER3004,현대과학기술정책의이해,ok,19,5,2,2017,2,outputs/pdfs_full/STS(과학기술학)전공__PER3004__현대과학기술정책의이해.pdf,yes,
PER3005,공직자윤리,ok,15,5,1,2016,2,outputs/pdfs_full/공공수행인문학전공__PER3005__공직자윤리.pdf,yes,
PER3006,현대사회의이해,ok,14,5,1,2017,1,outputs/pdfs_full/공공수행인문학전공__PER3006__현대사회의이해.pdf,yes,
PER3008,디지털콘텐츠창작의이론과실제,ok,20,5,1,2017,1,outputs/pdfs_full/미디어문화전공__PER3008__디지털콘텐츠창작의이론과실제.pdf,yes,
PER3009,포스트모더니즘시대의영화,ok,18,5,1,2017,1,outputs/pdfs_full/미디어문화전공__PER3009__포스트모더니즘시대의영화.pdf,yes,
