course_no,course_name,parse_status,grade_row_count,term_count,department_count,latest_year,latest_term,pdf_path,pdf_exists,issues
ACC2056,회계학,ok,18,4,1,2025,2,outputs/pdfs_full/정보시스템학과__ACC2056__회계학.pdf,yes,
ACC3001,원가회계,ok,40,5,2,2026,1,outputs/pdfs_full/경영학부__ACC3001__원가회계.pdf,yes,
ACC3002,회계감사,ok,20,5,2,2026,1,outputs/pdfs_full/경영학부__ACC3002__회계감사.pdf,yes,
ACC3003,관리회계,ok,29,4,2,2025,2,outputs/pdfs_full/경영학부__ACC3003__관리회계.pdf,yes,
ACC3004,세무회계,ok,30,5,2,2020,2,outputs/pdfs_full/경영학부__ACC3004__세무회계.pdf,yes,
ACC3005,조세법,ok,29,5,2,2014,2,outputs/pdfs_full/법학과__ACC3005__조세법.pdf,yes,
ACC4001,고급회계,ok,25,4,2,2025,2,outputs/pdfs_full/경영학부__ACC4001__고급회계.pdf,yes,
AIX0001,인공지능과학자-딥러닝,ok,1,1,1,2018,2,outputs/pdfs_seoul_university/서울_대학__AIX0001__인공지능과학자-딥러닝.pdf,yes,
AIX0002,AI+X:인공지능,ok,11,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0002__AI+X_인공지능.pdf,yes,
AIX0003,AI+X:딥러닝,ok,31,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0003__AI+X_딥러닝.pdf,yes,
AIX0004,AI+X:R-Py컴퓨팅,ok,31,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0004__AI+X_R-Py컴퓨팅.pdf,yes,
AIX0005,AI+X:머신러닝,ok,23,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0005__AI+X_머신러닝.pdf,yes,
AIX0006,AI와법,ok,13,4,2,2025,2,outputs/pdfs_full/미래인문학융합전공__AIX0006__AI와법.pdf,yes,
AIX0007,인공지능의철학,ok,8,4,2,2026,1,outputs/pdfs_full/미래인문학융합전공__AIX0007__인공지능의철학.pdf,yes,
AIX0008,AI+X:데이터사이언티스트,ok,37,5,2,2023,2,outputs/pdfs_full/빅데이터융합전공__AIX0008__AI+X_데이터사이언티스트.pdf,yes,
AIX0009,AI와암호화폐이야기,ok,33,5,1,2024,1,outputs/pdfs_seoul_university/서울_대학__AIX0009__AI와암호화폐이야기.pdf,yes,
APA1001,기초디자인1,ok,16,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA1001__기초디자인1.pdf,yes,
APA1002,기초디자인2,ok,8,5,1,2021,1,outputs/pdfs_full/응용미술교육과__APA1002__기초디자인2.pdf,yes,
APA1011,기초회화,ok,20,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA1011__기초회화.pdf,yes,
APA1012,미술교육학원론1,ok,10,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA1012__미술교육학원론1.pdf,yes,
APA1014,서양미술사1,ok,22,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA1014__서양미술사1.pdf,yes,
APA1015,드로잉,ok,15,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA1015__드로잉.pdf,yes,
APA1016,타이포그래피,ok,15,3,1,2015,2,outputs/pdfs_full/응용미술교육과__APA1016__타이포그래피.pdf,yes,
APA2021,가상공간연구,ok,10,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2021__가상공간연구.pdf,yes,
APA2023,미술치료법,ok,17,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2023__미술치료법.pdf,yes,
APA2024,영어프리젠테이션,ok,16,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2024__영어프리젠테이션.pdf,yes,
APA2026,게임환경연구2,ok,14,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA2026__게임환경연구2.pdf,yes,
APA2030,문화예술콘텐츠,ok,11,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2030__문화예술콘텐츠.pdf,yes,
APA2031,서양미술사2,ok,16,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2031__서양미술사2.pdf,yes,
APA2032,섬유공예,ok,17,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2032__섬유공예.pdf,yes,
APA2033,환경도자,ok,17,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA2033__환경도자.pdf,yes,
APA2034,2D컴퓨터그래픽,ok,12,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2034__2D컴퓨터그래픽.pdf,yes,
APA2035,입체오브제,ok,18,5,1,2020,1,outputs/pdfs_full/응용미술교육과__APA2035__입체오브제.pdf,yes,
APA2036,경험디자인,ok,6,2,1,2026,1,outputs/pdfs_full/응용미술교육과__APA2036__경험디자인.pdf,yes,
APA2054,데이터구조,ok,38,5,1,2026,1,outputs/pdfs_full/정보시스템학과__APA2054__데이터구조.pdf,yes,
APA2056,미술교육원강,ok,16,5,1,2018,1,outputs/pdfs_full/응용미술교육과__APA2056__미술교육원강.pdf,yes,
APA2057,캐릭터도자,ok,13,5,1,2016,2,outputs/pdfs_full/응용미술교육과__APA2057__캐릭터도자.pdf,yes,
APA2058,미술교육학원론2,ok,18,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA2058__미술교육학원론2.pdf,yes,
APA2059,문화예술콘텐츠2,ok,19,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA2059__문화예술콘텐츠2.pdf,yes,
APA2060,캡스톤디자인미술교육,ok,10,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA2060__캡스톤디자인미술교육.pdf,yes,
APA2061,다문화미술교육,ok,15,4,1,2015,2,outputs/pdfs_full/응용미술교육과__APA2061__다문화미술교육.pdf,yes,
APA2090,글로벌디자인실습,ok,6,4,1,2024,2,outputs/pdfs_full/응용미술교육과__APA2090__글로벌디자인실습.pdf,yes,
APA2091,인터렉티브디자인,ok,12,4,1,2024,1,outputs/pdfs_full/응용미술교육과__APA2091__인터렉티브디자인.pdf,yes,
APA2092,전시디자인,ok,11,4,1,2024,2,outputs/pdfs_full/응용미술교육과__APA2092__전시디자인.pdf,yes,
APA3005,시각디자인1,ok,15,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3005__시각디자인1.pdf,yes,
APA3006,시각디자인2,ok,8,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA3006__시각디자인2.pdf,yes,
APA3020,미술과교육론,ok,15,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3020__미술과교육론.pdf,yes,
APA3021,미술과교재연구,ok,14,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA3021__미술과교재연구.pdf,yes,
APA3024,웹디자인1,ok,21,5,1,2020,1,outputs/pdfs_full/응용미술교육과__APA3024__웹디자인1.pdf,yes,
APA3028,디지털일러스트레이션,ok,21,5,1,2017,1,outputs/pdfs_full/응용미술교육과__APA3028__디지털일러스트레이션.pdf,yes,
APA3029,웹디자인2,ok,20,5,1,2020,2,outputs/pdfs_full/응용미술교육과__APA3029__웹디자인2.pdf,yes,
APA3036,애니메이션,ok,16,5,1,2021,2,outputs/pdfs_full/응용미술교육과__APA3036__애니메이션.pdf,yes,
APA3038,3D컴퓨터그래픽,ok,14,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3038__3D컴퓨터그래픽.pdf,yes,
APA3039,동양미술사,ok,10,3,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3039__동양미술사.pdf,yes,
APA3053,도자공예연구,ok,15,5,1,2021,2,outputs/pdfs_full/응용미술교육과__APA3053__도자공예연구.pdf,yes,
APA3060,영상미디어제작,ok,18,5,1,2018,2,outputs/pdfs_full/응용미술교육과__APA3060__영상미디어제작.pdf,yes,
APA3061,산업도자공예,ok,15,5,1,2017,1,outputs/pdfs_full/응용미술교육과__APA3061__산업도자공예.pdf,yes,
APA3062,멀티미디어미술교육,ok,18,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA3062__멀티미디어미술교육.pdf,yes,
APA3063,캡스톤디자인뉴미디어,ok,8,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3063__캡스톤디자인뉴미디어.pdf,yes,
APA3064,미디어인터렉션디자인,ok,11,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA3064__미디어인터렉션디자인.pdf,yes,
APA3065,디자인스튜디오,ok,10,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA3065__디자인스튜디오.pdf,yes,
APA3114,소셜디자인,ok,8,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA3114__소셜디자인.pdf,yes,
APA4011,실내디자인,ok,12,5,1,2026,1,outputs/pdfs_full/건축학부__APA4011__실내디자인.pdf,yes,
APA4023,포트폴리오작품제작,ok,10,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA4023__포트폴리오작품제작.pdf,yes,
APA4025,디자인포트폴리오실무,ok,9,4,1,2024,2,outputs/pdfs_full/응용미술교육과__APA4025__디자인포트폴리오실무.pdf,yes,
APA4026,포트폴리오제작2,ok,9,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA4026__포트폴리오제작2.pdf,yes,
APA4027,클레이메이션,ok,14,5,1,2017,1,outputs/pdfs_full/응용미술교육과__APA4027__클레이메이션.pdf,yes,
APA4028,미술과논리및논술,ok,19,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA4028__미술과논리및논술.pdf,yes,
APA4055,인공지능개론,ok,32,5,2,2026,1,outputs/pdfs_full/융합전자공학부__APA4055__인공지능개론.pdf,yes,
APA4057,도예실기,ok,7,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA4057__도예실기.pdf,yes,
APA4058,도예실기2,ok,17,5,1,2022,2,outputs/pdfs_full/응용미술교육과__APA4058__도예실기2.pdf,yes,
APA4090,3D시뮬레이션,ok,10,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA4090__3D시뮬레이션.pdf,yes,
APA4091,캡스톤디자인산학협력,ok,10,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA4091__캡스톤디자인산학협력.pdf,yes,
APA4108,사회문제해결을위한Hands-onExperienceDesign,ok,4,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA4108__사회문제해결을위한Hands-onExperienceDesign.pdf,yes,
APA4110,미술과현장수업연구,ok,1,1,1,2024,2,outputs/pdfs_full/응용미술교육과__APA4110__미술과현장수업연구.pdf,yes,
APS1002,대학수학,ok,31,4,2,2026,1,outputs/pdfs_full/산업융합학부__APS1002__대학수학.pdf,yes,
APS1003,논리적사고와말하기,ok,19,4,2,2026,1,outputs/pdfs_full/산업융합학부__APS1003__논리적사고와말하기.pdf,yes,
APS1004,학술기초영어회화,ok,23,4,2,2026,1,outputs/pdfs_full/산업융합학부__APS1004__학술기초영어회화.pdf,yes,
APS1005,대학수학2,ok,24,3,1,2015,2,outputs/pdfs_seoul_university/서울_대학__APS1005__대학수학2.pdf,yes,
APS1006,창조적사고와글쓰기,ok,17,3,2,2015,2,outputs/pdfs_full/산업융합학부__APS1006__창조적사고와글쓰기.pdf,yes,
APS1007,영어토론과발표,ok,23,3,2,2015,2,outputs/pdfs_full/산업융합학부__APS1007__영어토론과발표.pdf,yes,
APS1008,과학기술의철학적탐색,ok,22,3,2,2015,2,outputs/pdfs_full/산업융합학부__APS1008__과학기술의철학적탐색.pdf,yes,
APS1009,산업융합입문,ok,6,1,2,2026,1,outputs/pdfs_full/산업융합학부__APS1009__산업융합입문.pdf,yes,
APS1010,산업융합수학,not_found,0,0,2,,,outputs/pdfs_full/산업융합학부__APS1010__산업융합수학.pdf,yes,missing_grade_rows
APS2001,확률및통계1,ok,20,3,6,2026,1,outputs/pdfs_full/응용시스템전공__APS2001__확률및통계1.pdf,yes,
APS2002,기술경영입문,ok,18,3,3,2026,1,outputs/pdfs_full/응용시스템전공__APS2002__기술경영입문.pdf,yes,
APS2003,경제성공학론,ok,18,3,3,2026,1,outputs/pdfs_full/응용시스템전공__APS2003__경제성공학론.pdf,yes,
APS2004,인간심리와경험,ok,17,3,5,2026,1,outputs/pdfs_full/응용시스템전공__APS2004__인간심리와경험.pdf,yes,
APS2005,확률및통계2,ok,14,2,6,2015,2,outputs/pdfs_full/응용시스템전공__APS2005__확률및통계2.pdf,yes,
APS2006,공업경제학2,ok,8,2,1,2015,2,outputs/pdfs_full/응용시스템전공__APS2006__공업경제학2.pdf,yes,
APS2007,정보시각화,ok,14,3,5,2025,2,outputs/pdfs_full/응용시스템전공__APS2007__정보시각화.pdf,yes,
APS2008,경제학개론,ok,7,1,3,2015,2,outputs/pdfs_full/응용시스템전공__APS2008__경제학개론.pdf,yes,
APS2009,마케팅입문,ok,5,1,2,2015,2,outputs/pdfs_full/응용시스템전공__APS2009__마케팅입문.pdf,yes,
APS2010,사회기술시스템,not_found,0,0,4,,,outputs/pdfs_full/응용시스템전공__APS2010__사회기술시스템.pdf,yes,missing_grade_rows
APS2011,마케팅원리,not_found,0,0,4,,,outputs/pdfs_full/응용시스템전공__APS2011__마케팅원리.pdf,yes,missing_grade_rows
APS3001,수리최적화,ok,11,2,6,2026,1,outputs/pdfs_full/응용시스템전공__APS3001__수리최적화.pdf,yes,
APS3002,생산운영관리론,ok,14,2,3,2026,1,outputs/pdfs_full/응용시스템전공__APS3002__생산운영관리론.pdf,yes,
APS3003,디자인혁신경영,ok,5,1,5,2015,1,outputs/pdfs_full/응용시스템전공__APS3003__디자인혁신경영.pdf,yes,
APS3004,데이터마이닝1,not_found,0,0,2,,,outputs/pdfs_full/응용시스템전공__APS3004__데이터마이닝1.pdf,yes,missing_grade_rows
APS3005,기술혁신전략,ok,8,1,4,2015,1,outputs/pdfs_full/응용시스템전공__APS3005__기술혁신전략.pdf,yes,
APS3007,시계열및인공지능예측,ok,6,1,5,2015,2,outputs/pdfs_full/응용시스템전공__APS3007__시계열및인공지능예측.pdf,yes,
APS3008,생산운영관리2,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS3008__생산운영관리2.pdf,yes,missing_grade_rows
APS3009,인간중심디자인,not_found,0,0,5,,,outputs/pdfs_full/응용시스템전공__APS3009__인간중심디자인.pdf,yes,missing_grade_rows
APS3010,데이터마이닝2,not_found,0,0,2,,,outputs/pdfs_full/응용시스템전공__APS3010__데이터마이닝2.pdf,yes,missing_grade_rows
APS3011,회계학원론,ok,3,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS3011__회계학원론.pdf,yes,
APS3013,서비스경영,ok,7,1,5,2015,2,outputs/pdfs_full/응용시스템전공__APS3013__서비스경영.pdf,yes,
APS3014,프로세스매니지먼트,ok,5,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS3014__프로세스매니지먼트.pdf,yes,
APS3015,품질경영,ok,7,1,3,2015,1,outputs/pdfs_full/응용시스템전공__APS3015__품질경영.pdf,yes,
APS3016,전략경영,ok,13,2,3,2026,1,outputs/pdfs_full/응용시스템전공__APS3016__전략경영.pdf,yes,
APS3017,e-비즈니스,ok,5,1,4,2015,2,outputs/pdfs_full/응용시스템전공__APS3017__e-비즈니스.pdf,yes,
APS3019,하이테크마케팅,ok,7,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS3019__하이테크마케팅.pdf,yes,
APS3020,사이버물리시스템(캡스톤디자인),ok,4,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS3020__사이버물리시스템(캡스톤디자인).pdf,yes,
APS3021,기술사업화,ok,4,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS3021__기술사업화.pdf,yes,
APS3022,지속가능경영시스템,not_found,0,0,3,,,outputs/pdfs_full/응용시스템전공__APS3022__지속가능경영시스템.pdf,yes,missing_grade_rows
APS3023,기술금융,not_found,0,0,3,,,outputs/pdfs_full/응용시스템전공__APS3023__기술금융.pdf,yes,missing_grade_rows
APS4001,실험및시험방법론,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4001__실험및시험방법론.pdf,yes,missing_grade_rows
APS4002,공급망관리,not_found,0,0,3,,,outputs/pdfs_full/응용시스템전공__APS4002__공급망관리.pdf,yes,missing_grade_rows
APS4003,ERP실무,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4003__ERP실무.pdf,yes,missing_grade_rows
APS4004,컴퓨터통합제조,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4004__컴퓨터통합제조.pdf,yes,missing_grade_rows
APS4005,산업융합세미나,not_found,0,0,3,,,outputs/pdfs_full/응용시스템전공__APS4005__산업융합세미나.pdf,yes,missing_grade_rows
APS4006,경영공학창의설계,ok,3,1,3,2026,1,outputs/pdfs_full/응용시스템전공__APS4006__경영공학창의설계.pdf,yes,
APS4007,실험및시험방법론2,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4007__실험및시험방법론2.pdf,yes,missing_grade_rows
APS4008,프로젝트관리론,not_found,0,0,4,,,outputs/pdfs_full/응용시스템전공__APS4008__프로젝트관리론.pdf,yes,missing_grade_rows
APS4011,응용시스템세미나2,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4011__응용시스템세미나2.pdf,yes,missing_grade_rows
APS4012,경영공학종합설계,not_found,0,0,3,,,outputs/pdfs_full/응용시스템전공__APS4012__경영공학종합설계.pdf,yes,missing_grade_rows
APS4013,의사결정론,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4013__의사결정론.pdf,yes,missing_grade_rows
APS4014,경영시뮬레이션,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4014__경영시뮬레이션.pdf,yes,missing_grade_rows
APS4015,제조혁신,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4015__제조혁신.pdf,yes,missing_grade_rows
APS4016,사회혁신의이해,ok,12,5,4,2026,1,outputs/pdfs_full/응용시스템전공__APS4016__사회혁신의이해.pdf,yes,
APS4017,하이브리드프로토타이핑,not_found,0,0,1,,,outputs/pdfs_full/응용시스템전공__APS4017__하이브리드프로토타이핑.pdf,yes,missing_grade_rows
APS4019,글로벌혁신시스템,not_found,0,0,4,,,outputs/pdfs_full/응용시스템전공__APS4019__글로벌혁신시스템.pdf,yes,missing_grade_rows
APS4020,지식재산경영,ok,6,1,4,2026,1,outputs/pdfs_full/응용시스템전공__APS4020__지식재산경영.pdf,yes,
APS4021,산업문제해결컨설팅,not_found,0,0,4,,,outputs/pdfs_full/응용시스템전공__APS4021__산업문제해결컨설팅.pdf,yes,missing_grade_rows
APS4022,비즈니스모델디자인,ok,6,1,5,2026,1,outputs/pdfs_full/응용시스템전공__APS4022__비즈니스모델디자인.pdf,yes,
ARD2001,주거론,ok,24,5,2,2026,1,outputs/pdfs_full/건축학부__ARD2001__주거론.pdf,yes,
ARD2052,건축환경공학,ok,21,4,2,2026,1,outputs/pdfs_full/건축학부__ARD2052__건축환경공학.pdf,yes,
ARD3005,서양건축사,ok,24,4,1,2025,2,outputs/pdfs_full/건축학부__ARD3005__서양건축사.pdf,yes,
ARD3009,건축구법1,ok,31,5,2,2022,2,outputs/pdfs_full/건축학부__ARD3009__건축구법1.pdf,yes,
ARD3010,건축구법2,ok,2,1,1,2017,1,outputs/pdfs_full/건축공학부__ARD3010__건축구법2.pdf,yes,
ARD3063,건축계획,ok,34,5,2,2026,1,outputs/pdfs_full/건축학부__ARD3063__건축계획.pdf,yes,
ARD4005,한국건축사,ok,35,5,1,2026,1,outputs/pdfs_full/건축학부__ARD4005__한국건축사.pdf,yes,
ARD4006,현대건축사,ok,36,5,1,2017,1,outputs/pdfs_full/건축학부__ARD4006__현대건축사.pdf,yes,
ARD4007,동양건축사,ok,26,5,1,2023,1,outputs/pdfs_full/건축학부__ARD4007__동양건축사.pdf,yes,
ARD4012,건축기획,ok,22,5,1,2026,1,outputs/pdfs_full/건축학부__ARD4012__건축기획.pdf,yes,
ARE1001,건축론,ok,37,5,1,2018,2,outputs/pdfs_full/건축학부__ARE1001__건축론.pdf,yes,
ARE1032,기초표현1,ok,26,5,1,2015,1,outputs/pdfs_full/건축학부__ARE1032__기초표현1.pdf,yes,
ARE1033,기초표현2,ok,29,5,1,2015,2,outputs/pdfs_full/건축학부__ARE1033__기초표현2.pdf,yes,
ARE1034,수학과기하학,ok,30,5,1,2023,2,outputs/pdfs_full/건축학부__ARE1034__수학과기하학.pdf,yes,
ARE1035,물리학의개념,ok,32,5,1,2023,2,outputs/pdfs_full/건축학부__ARE1035__물리학의개념.pdf,yes,
ARE1056,기초표현,ok,28,5,1,2025,1,outputs/pdfs_full/건축학부__ARE1056__기초표현.pdf,yes,
ARE1057,스마트건축의이해,ok,17,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE1057__스마트건축의이해.pdf,yes,
ARE1058,건축의이해,ok,16,3,1,2026,1,outputs/pdfs_full/건축학부__ARE1058__건축의이해.pdf,yes,
ARE2007,건축설비개론,ok,30,4,2,2026,1,outputs/pdfs_full/건축학부__ARE2007__건축설비개론.pdf,yes,
ARE2008,건축CAD,ok,36,5,1,2016,2,outputs/pdfs_full/건축학부__ARE2008__건축CAD.pdf,yes,
ARE2021,공학역학,ok,25,5,1,2026,1,outputs/pdfs_full/건축공학부__ARE2021__공학역학.pdf,yes,
ARE2022,건물유체및열역학,ok,28,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE2022__건물유체및열역학.pdf,yes,
ARE2051,건축사,ok,30,5,1,2018,1,outputs/pdfs_full/건축공학부__ARE2051__건축사.pdf,yes,
ARE2070,컴퓨터활용디자인기본,ok,24,4,1,2025,2,outputs/pdfs_full/건축학부__ARE2070__컴퓨터활용디자인기본.pdf,yes,
ARE2078,건축과컴퓨터,ok,25,4,1,2025,2,outputs/pdfs_full/건축학부__ARE2078__건축과컴퓨터.pdf,yes,
ARE3005,건축재료,ok,18,5,2,2026,1,outputs/pdfs_full/건축학부__ARE3005__건축재료.pdf,yes,
ARE3008,건축구조역학1,ok,25,5,2,2026,1,outputs/pdfs_full/건축학부__ARE3008__건축구조역학1.pdf,yes,
ARE3009,건축구조역학2,ok,14,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE3009__건축구조역학2.pdf,yes,
ARE3067,건축설계론,ok,27,5,1,2022,2,outputs/pdfs_full/건축학부__ARE3067__건축설계론.pdf,yes,
ARE3069,글로벌건설경영,ok,20,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE3069__글로벌건설경영.pdf,yes,
ARE3070,도시사,ok,29,5,1,2019,1,outputs/pdfs_full/건축학부__ARE3070__도시사.pdf,yes,
ARE3080,건축융합설계1,ok,24,5,1,2025,1,outputs/pdfs_full/건축공학부__ARE3080__건축융합설계1.pdf,yes,
ARE3081,건축융합설계2,ok,26,5,1,2025,2,outputs/pdfs_full/건축공학부__ARE3081__건축융합설계2.pdf,yes,
ARE3082,컴퓨터활용건축설계특론,ok,31,5,1,2026,1,outputs/pdfs_full/건축학부__ARE3082__컴퓨터활용건축설계특론.pdf,yes,
ARE3083,건축구조역학,ok,20,4,1,2025,2,outputs/pdfs_full/건축학부__ARE3083__건축구조역학.pdf,yes,
ARE3084,근대건축의역사와이론,ok,28,4,1,2025,2,outputs/pdfs_full/건축학부__ARE3084__근대건축의역사와이론.pdf,yes,
ARE3085,건축재료및활용,ok,38,5,1,2026,1,outputs/pdfs_full/건축학부__ARE3085__건축재료및활용.pdf,yes,
ARE3086,스마트건축생산,ok,4,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE3086__스마트건축생산.pdf,yes,
ARE3087,건축과도시설계,ok,19,4,1,2025,2,outputs/pdfs_full/건축학부__ARE3087__건축과도시설계.pdf,yes,
ARE3088,건축융합설계,not_found,0,0,1,,,outputs/pdfs_full/건축공학부__ARE3088__건축융합설계.pdf,yes,missing_grade_rows
ARE3096,건축통합시스템,ok,8,1,1,2025,2,outputs/pdfs_full/건축학부__ARE3096__건축통합시스템.pdf,yes,
ARE3097,건축법과실무,ok,6,1,1,2025,2,outputs/pdfs_full/건축학부__ARE3097__건축법과실무.pdf,yes,
ARE4002,구조해석,ok,33,5,1,2026,1,outputs/pdfs_full/건설환경공학과__ARE4002__구조해석.pdf,yes,
ARE4014,건축구조계획,ok,28,4,2,2025,2,outputs/pdfs_full/건축학부__ARE4014__건축구조계획.pdf,yes,
ARE4020,건축공학실험,not_found,0,0,1,,,outputs/pdfs_full/건축공학부__ARE4020__건축공학실험.pdf,yes,missing_grade_rows
ARE4022,건축음향,ok,15,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE4022__건축음향.pdf,yes,
ARE4026,환경과생태건축,ok,25,4,2,2026,1,outputs/pdfs_full/건축학부__ARE4026__환경과생태건축.pdf,yes,
ARE4027,건축상세미학,ok,16,4,1,2025,2,outputs/pdfs_full/건축학부__ARE4027__건축상세미학.pdf,yes,
ARE4030,전기회로및조명시스템,ok,18,4,1,2025,2,outputs/pdfs_full/건축공학부__ARE4030__전기회로및조명시스템.pdf,yes,
ARE4031,건물에너지,ok,37,5,1,2026,1,outputs/pdfs_full/건축공학부__ARE4031__건물에너지.pdf,yes,
ARE4078,건축실무,ok,27,5,1,2024,2,outputs/pdfs_full/건축학부__ARE4078__건축실무.pdf,yes,
ARE4086,기본설계1,ok,35,5,2,2026,1,outputs/pdfs_full/건축학부__ARE4086__기본설계1.pdf,yes,
ARE4087,기본설계2,ok,28,4,2,2025,2,outputs/pdfs_full/건축학부__ARE4087__기본설계2.pdf,yes,
ARE4088,건축설계스튜디오1,ok,32,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4088__건축설계스튜디오1.pdf,yes,
ARE4089,건축설계스튜디오2,ok,24,4,1,2025,2,outputs/pdfs_full/건축학부__ARE4089__건축설계스튜디오2.pdf,yes,
ARE4092,건축설계스튜디오3,ok,30,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4092__건축설계스튜디오3.pdf,yes,
ARE4093,건축설계스튜디오4,ok,23,4,1,2025,2,outputs/pdfs_full/건축학부__ARE4093__건축설계스튜디오4.pdf,yes,
ARE4095,건축설계스튜디오5,ok,31,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4095__건축설계스튜디오5.pdf,yes,
ARE4096,건축설계스튜디오6,ok,24,4,1,2025,2,outputs/pdfs_full/건축학부__ARE4096__건축설계스튜디오6.pdf,yes,
ARE4097,건축설계스튜디오7,ok,23,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4097__건축설계스튜디오7.pdf,yes,
ARE4098,건축설계스튜디오8,ok,22,4,1,2025,2,outputs/pdfs_full/건축학부__ARE4098__건축설계스튜디오8.pdf,yes,
ARE4100,건축공간론,ok,13,2,1,2019,2,outputs/pdfs_full/건축학부__ARE4100__건축공간론.pdf,yes,
ARE4101,예술과기술,ok,20,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4101__예술과기술.pdf,yes,
ARE4106,현대건축의역사와이론,ok,31,5,1,2026,1,outputs/pdfs_full/건축학부__ARE4106__현대건축의역사와이론.pdf,yes,
ARE4107,공학프로젝트및현장실습,ok,4,1,1,2019,1,outputs/pdfs_full/건축공학부__ARE4107__공학프로젝트및현장실습.pdf,yes,
ARE4108,건축공학종합설계,not_found,0,0,1,,,outputs/pdfs_full/건축공학부__ARE4108__건축공학종합설계.pdf,yes,missing_grade_rows
ARE4109,건축과인터랙션,ok,12,3,1,2025,2,outputs/pdfs_full/건축학부__ARE4109__건축과인터랙션.pdf,yes,
ARE4110,동아시아건축과문화,ok,7,2,1,2025,2,outputs/pdfs_full/건축학부__ARE4110__동아시아건축과문화.pdf,yes,
ARE5000,건축공간행태론,ok,15,5,1,2026,1,outputs/pdfs_full/건축학부__ARE5000__건축공간행태론.pdf,yes,
ARE5001,디지털디자인스튜디오,ok,22,5,1,2026,1,outputs/pdfs_full/건축학부__ARE5001__디지털디자인스튜디오.pdf,yes,
