severity,issue_type,course_no,course_name,year,term,detail
warning,course_without_grade_data,CUL1124,맞춤형성장멘토링교과목I,,,parse_status=not_found
warning,course_without_grade_data,CUL1126,여성공학자연계멘토링,,,parse_status=not_found
warning,course_without_grade_data,CUL1133,(여성공학도)기업가정신과창의적사고,,,parse_status=not_found
warning,course_without_grade_data,CUL1143,치매와문화예술,,,parse_status=not_found
warning,course_without_grade_data,CUL1146,한미관계의정치경제,,,parse_status=not_found
warning,course_without_grade_data,CUL1147,사물인터넷시스템(캡스톤디자인),,,parse_status=not_found
warning,course_without_grade_data,CUL1161,SDGs달성을위한CSR과지속가능경영에대한이해,,,parse_status=not_found
warning,course_without_grade_data,CUL1177,디지털인문학,,,parse_status=not_found
warning,course_without_grade_data,CUL1195,"ESG와사회혁신,커뮤니케이션",,,parse_status=not_found
warning,course_without_grade_data,CUL1206,기후환경에따른환경문제와융복합처리기술,,,parse_status=not_found
warning,course_without_grade_data,CUL1207,반도체의물리와화학,,,parse_status=not_found
warning,course_without_grade_data,CUL1239,딥러닝과생성형인공지능–딥러닝,,,parse_status=not_found
warning,course_without_grade_data,CUL1240,딥러닝과생성형인공지능-생성형인공지능,,,parse_status=not_found
warning,course_without_grade_data,CUL1241,모두를위한피지컬AI,,,parse_status=not_found
warning,course_without_grade_data,CUL1242,생성형AI와플랫폼을활용한산업문제해결,,,parse_status=not_found
warning,course_without_grade_data,CUL1243,현대소비생활과법,,,parse_status=not_found
warning,course_without_grade_data,CUL1244,AI시대새로배우는대화법,,,parse_status=not_found
warning,course_without_grade_data,CUL1245,인구로읽는미래사회,,,parse_status=not_found
warning,course_without_grade_data,CUL1246,고대이집트문명으로의초대,,,parse_status=not_found
warning,course_without_grade_data,CUL3100,American Popular Music of the 20th Century : Cultural and Linguistic Significance,,,parse_status=not_found
warning,course_without_grade_data,CUL7111,실전취업전략최종완성,,,parse_status=not_found
warning,course_without_grade_data,CUL7112,융합과혁신캡스톤디자인,,,parse_status=not_found
warning,course_without_grade_data,DAN1047,필라테스와이미지,,,parse_status=not_found
warning,course_without_grade_data,DAN1054,사회무용의연구,,,parse_status=not_found
warning,course_without_grade_data,DAN2048,서양무용음악연구,,,parse_status=not_found
warning,course_without_grade_data,DEE2053,글로벌시대의문화적감수성,,,parse_status=not_found
warning,course_without_grade_data,DEE3054,영어구문연구,,,parse_status=not_found
warning,course_without_grade_data,DEE3055,영어연극과글로벌역량,,,parse_status=not_found
warning,course_without_grade_data,DEE3056,AI활용영어텍스트분석,,,parse_status=not_found
warning,course_without_grade_data,DEE3057,시네마휴머니즘,,,parse_status=not_found
warning,course_without_grade_data,DEE4047,영미고전과삶의가치,,,parse_status=not_found
warning,course_without_grade_data,DET1006,학습과학의이론적기초,,,parse_status=not_found
warning,course_without_grade_data,DET2040,조직개발과조직문화,,,parse_status=not_found
warning,course_without_grade_data,DET3031,디지털영상미디어제작실습,,,parse_status=not_found
warning,course_without_grade_data,DET3032,교육공학글로벌인턴십,,,parse_status=not_found
warning,course_without_grade_data,DET3034,교육공학인턴십,,,parse_status=not_found
warning,course_without_grade_data,DET3041,AI활용교육도구설계,,,parse_status=not_found
warning,course_without_grade_data,DET3043,하이브리드러닝플랫폼설계,,,parse_status=not_found
warning,course_without_grade_data,DET3044,학습분석의이해와적용,,,parse_status=not_found
warning,course_without_grade_data,DET4030,교육공학연구방법과통계,,,parse_status=not_found
warning,course_without_grade_data,DIS1001,Contemporary Society and Philosophy,,,parse_status=not_found
warning,course_without_grade_data,DIS1003,Special Lecture Series I,,,parse_status=not_found
warning,course_without_grade_data,DIS1016,East Asian History and Culture,,,parse_status=not_found
warning,course_without_grade_data,DIS1017,Economic Growth and Development,,,parse_status=not_found
warning,course_without_grade_data,DIS1018,Global Ethics,,,parse_status=not_found
warning,course_without_grade_data,DIS1025,Basic Quantitative Methods,,,parse_status=not_found
warning,course_without_grade_data,DIS1026,Business and Society,,,parse_status=not_found
warning,course_without_grade_data,DIS1027,Law and Society,,,parse_status=not_found
warning,course_without_grade_data,DIS1028,Quantitative Methods,,,parse_status=not_found
warning,course_without_grade_data,DIS2006,International Law,,,parse_status=not_found
warning,course_without_grade_data,DIS2007,International Economics,,,parse_status=not_found
warning,course_without_grade_data,DIS2009,Leadership Workshop,,,parse_status=not_found
warning,course_without_grade_data,DIS2016,International Conflict & Cooperation,,,parse_status=not_found
warning,course_without_grade_data,DIS2018,Russian Politics & Foreign Policy,,,parse_status=not_found
warning,course_without_grade_data,DIS2019,Chinese Politics and Foreign Policy,,,parse_status=not_found
warning,course_without_grade_data,DIS2020,Japanese Politics & Foreign Policy,,,parse_status=not_found
warning,course_without_grade_data,DIS2021,American Politics & Foreign Policy,,,parse_status=not_found
warning,course_without_grade_data,DIS2024,Model United Nations,,,parse_status=not_found
warning,course_without_grade_data,DIS2034,Macroeconomics,,,parse_status=not_found
warning,course_without_grade_data,DIS2045,Contemporary Korean Society,,,parse_status=not_found
warning,course_without_grade_data,DIS2046,Korean History and Culture,,,parse_status=not_found
warning,course_without_grade_data,DIS2048,Debate and Argumentation,,,parse_status=not_found
warning,course_without_grade_data,DIS2052,Accounting,,,parse_status=not_found
warning,course_without_grade_data,DIS2053,Principle of Marketing,,,parse_status=not_found
warning,course_without_grade_data,DIS2056,Digital Strategy I,,,parse_status=not_found
warning,course_without_grade_data,DIS2059,한류의정치경제학,,,parse_status=not_found
warning,course_without_grade_data,DIS2069,Quantative Analysis,,,parse_status=not_found
warning,course_without_grade_data,DIS3003,Public International Law,,,parse_status=not_found
warning,course_without_grade_data,DIS3004,Global Marketing and Business Strategy,,,parse_status=not_found
warning,course_without_grade_data,DIS3007,International Banking and Capital Market,,,parse_status=not_found
warning,course_without_grade_data,DIS3010,Microeconomics,,,parse_status=not_found
warning,course_without_grade_data,DIS3012,Korean Politics and Foreign Policy,,,parse_status=not_found
warning,course_without_grade_data,DIS3013,Korean Economy and Business,,,parse_status=not_found
warning,course_without_grade_data,DIS3019,Transnational Management,,,parse_status=not_found
warning,course_without_grade_data,DIS3021,Individual Study:Internships,,,parse_status=not_found
warning,course_without_grade_data,DIS3027,Corporate Finance I,,,parse_status=not_found
warning,course_without_grade_data,DIS3028,Corporate Finance II,,,parse_status=not_found
warning,course_without_grade_data,DIS3029,Operation Management,,,parse_status=not_found
warning,course_without_grade_data,DIS3030,Chinese Society & Culture,,,parse_status=not_found
warning,course_without_grade_data,DIS3031,Special TopicsI,,,parse_status=not_found
warning,course_without_grade_data,DIS3032,Chinese Economy & Business,,,parse_status=not_found
warning,course_without_grade_data,DIS3036,Research Methodology,,,parse_status=not_found
warning,course_without_grade_data,DIS3037,Basic Econometrics,,,parse_status=not_found
warning,course_without_grade_data,DIS3038,The 4th Industrial Revolution and the Future of Asia,,,parse_status=not_found
warning,course_without_grade_data,DIS3042,관광경영,,,parse_status=not_found
warning,course_without_grade_data,DIS3043,한국기업의경쟁전략,,,parse_status=not_found
warning,course_without_grade_data,DIS3048,북한체제의이해,,,parse_status=not_found
warning,course_without_grade_data,DIS3049,한국의시민사회,,,parse_status=not_found
warning,course_without_grade_data,DIS3056,Advanced Research Methods,,,parse_status=not_found
warning,course_without_grade_data,DIS4002,Human Resource Management,,,parse_status=not_found
warning,course_without_grade_data,DIS4003,캡스톤특강:M&A와기업구조조정,,,parse_status=not_found
warning,course_without_grade_data,DIS4004,U.S. Legal System,,,parse_status=not_found
warning,course_without_grade_data,DIS4005,Special Topics III,,,parse_status=not_found
warning,course_without_grade_data,DIS4006,캡스톤특강:국제경영컨설팅실무,,,parse_status=not_found
warning,course_without_grade_data,DIS4007,Special Topics IV,,,parse_status=not_found
warning,course_without_grade_data,DIS4009,캡스톤특강:DigitalStrategy,,,parse_status=not_found
warning,course_without_grade_data,DIS4010,글로벌사회와한중일,,,parse_status=not_found
warning,course_without_grade_data,DIS4011,Impact Investing,,,parse_status=not_found
warning,course_without_grade_data,DIS4016,사회과학연구방법론,,,parse_status=not_found
warning,course_without_grade_data,DIS4017,4차산업혁명과한국기업의신성장전략,,,parse_status=not_found
warning,course_without_grade_data,DIS4019,남북관계론,,,parse_status=not_found
warning,course_without_grade_data,DIS4021,한국의기업가정신,,,parse_status=not_found
warning,course_without_grade_data,DIS4022,실무실습: 임팩트투자와창업,,,parse_status=not_found
warning,course_without_grade_data,DIS4023,한국과세계정치경제,,,parse_status=not_found
warning,course_without_grade_data,DIS4024,캡스톤특강:한국학과뉴미디어,,,parse_status=not_found
warning,course_without_grade_data,DIS4025,미디어콘텐츠기획,,,parse_status=not_found
warning,course_without_grade_data,DIS4033,한국문화와글로벌역량,,,parse_status=not_found
warning,course_without_grade_data,DIS4034,K-엔터테인먼트실무,,,parse_status=not_found
warning,course_without_grade_data,DIS4035,캡스톤:글로벌콘텐츠와엔터테인먼트산업,,,parse_status=not_found
warning,course_without_grade_data,DSD3002,디지털프로토타이핑,,,parse_status=not_found
warning,course_without_grade_data,DSD4001,혁신서비스개발PBL,,,parse_status=not_found
warning,course_without_grade_data,DSI2006,스포츠심화실기2,,,parse_status=not_found
warning,course_without_grade_data,DSI2026,스포츠산업현장투어,,,parse_status=not_found
warning,course_without_grade_data,DST2003,디지털서비스혁신개론,,,parse_status=not_found
warning,course_without_grade_data,DST3001,SW기반특허분석실무,,,parse_status=not_found
warning,course_without_grade_data,DST3002,LLM과비즈니스,,,parse_status=not_found
warning,course_without_grade_data,ECL3010,전기기초실험3,,,parse_status=not_found
warning,course_without_grade_data,ECL4020,에너지하베스팅,,,parse_status=not_found
warning,course_without_grade_data,ECL4023,산업플라즈마입자시뮬레이션,,,parse_status=not_found
warning,course_without_grade_data,ECO3093,시장설계이론,,,parse_status=not_found
warning,course_without_grade_data,EDU2069,진로교육과상담,,,parse_status=not_found
warning,course_without_grade_data,EDU3035,이러닝과원격교육,,,parse_status=not_found
warning,course_without_grade_data,EDU3036,디지털교육,,,parse_status=not_found
warning,course_without_grade_data,EDU3082,교사교육과수업장학,,,parse_status=not_found
warning,course_without_grade_data,EDU4038,동기의이해,,,parse_status=not_found
warning,course_without_grade_data,EDU4093,교육컨설팅,,,parse_status=not_found
warning,course_without_grade_data,EDU4098,교육측정및검사,,,parse_status=not_found
warning,course_without_grade_data,ELE3085,머신러닝개론,,,parse_status=not_found
warning,course_without_grade_data,ELE4011,전기응용실험1,,,parse_status=not_found
warning,course_without_grade_data,ELE4012,전기응용실험2,,,parse_status=not_found
warning,course_without_grade_data,ENG2089,비판적생각과영어쓰기1,,,parse_status=not_found
warning,course_without_grade_data,ENG2094,연극심화이해와실제캡스톤,,,parse_status=not_found
warning,course_without_grade_data,ENG3094,실험언어학,,,parse_status=not_found
warning,course_without_grade_data,ENG3097,비판적생각과영어쓰기2,,,parse_status=not_found
warning,course_without_grade_data,ENG3103,영미정치사상과문학,,,parse_status=not_found
warning,course_without_grade_data,ENG4090,영어읽기와토론3,,,parse_status=not_found
warning,course_without_grade_data,ENG4091,비판적생각과영어쓰기3,,,parse_status=not_found
warning,course_without_grade_data,EWE4023,광통신,,,parse_status=not_found
warning,course_without_grade_data,FET1002,에너지와지속가능경영의기초,,,parse_status=not_found
warning,course_without_grade_data,FET3004,에너지자원순환공학,,,parse_status=not_found
warning,course_without_grade_data,FET9101,에너지소재개론,,,parse_status=not_found
warning,course_without_grade_data,FET9102,에너지신산업머신러닝개론,,,parse_status=not_found
warning,course_without_grade_data,FET9103,AI와에너지신산업,,,parse_status=not_found
warning,course_without_grade_data,FET9104,에너지와지식재산라이센싱,,,parse_status=not_found
warning,course_without_grade_data,FET9201,에너지저장공학개론,,,parse_status=not_found
warning,course_without_grade_data,FET9202,신에너지공학개론,,,parse_status=not_found
warning,course_without_grade_data,FET9203,전기화학에너지저장이론및실험,,,parse_status=not_found
warning,course_without_grade_data,FET9204,재생에너지공학개론,,,parse_status=not_found
warning,course_without_grade_data,FET9205,수소연료전지개론,,,parse_status=not_found
warning,course_without_grade_data,FET9206,에너지와기술의경제학,,,parse_status=not_found
warning,course_without_grade_data,FET9207,에너지와기후변화,,,parse_status=not_found
warning,course_without_grade_data,FET9208,파이썬프로그래밍입문,,,parse_status=not_found
warning,course_without_grade_data,FET9209,원자력발전공학개론,,,parse_status=not_found
warning,course_without_grade_data,FET9210,탄소중립과ESG,,,parse_status=not_found
warning,course_without_grade_data,FET9211,수소에너지개론,,,parse_status=not_found
warning,course_without_grade_data,FET9301,에너지기후변화정책,,,parse_status=not_found
warning,course_without_grade_data,FET9302,거대에너지저장,,,parse_status=not_found
warning,course_without_grade_data,FET9303,에너지저장소재설계,,,parse_status=not_found
warning,course_without_grade_data,FET9304,에너지생산소재공학,,,parse_status=not_found
warning,course_without_grade_data,FET9305,에너지반응공학,,,parse_status=not_found
warning,course_without_grade_data,FET9306,바이오폐기물에너지공학,,,parse_status=not_found
warning,course_without_grade_data,FET9307,화학적에너지수송,,,parse_status=not_found
warning,course_without_grade_data,FET9308,AI기반에너지안전공학,,,parse_status=not_found
warning,course_without_grade_data,FET9309,제로에너지시스템,,,parse_status=not_found
warning,course_without_grade_data,FET9310,에너지빅데이터분석,,,parse_status=not_found
warning,course_without_grade_data,FET9311,이산화탄소포집활용저장,,,parse_status=not_found
warning,course_without_grade_data,FET9401,태양에너지공학,,,parse_status=not_found
warning,course_without_grade_data,FET9402,지열에너지공학,,,parse_status=not_found
warning,course_without_grade_data,FET9403,풍력에너지공학,,,parse_status=not_found
warning,course_without_grade_data,FET9404,에너지사업타당성평가,,,parse_status=not_found
warning,course_without_grade_data,FET9405,수소생산과연료전지응용,,,parse_status=not_found
warning,course_without_grade_data,FET9406,열에너지변환공학,,,parse_status=not_found
warning,course_without_grade_data,FET9407,AI기반시스템최적화,,,parse_status=not_found
warning,course_without_grade_data,FET9408,수소에너지공학,,,parse_status=not_found
warning,course_without_grade_data,FET9409,전기차배터리공학,,,parse_status=not_found
warning,course_without_grade_data,FET9410,차세대에너지저장변환공학,,,parse_status=not_found
warning,course_without_grade_data,FET9411,무선에너지전달,,,parse_status=not_found
warning,course_without_grade_data,FET9412,수소에너지실험,,,parse_status=not_found
warning,course_without_grade_data,FET9413,에너지신산업커리어디자인,,,parse_status=not_found
warning,course_without_grade_data,FUT4004,Lego-H인문캡스톤디자인1:현장전문가리더십특강,,,parse_status=not_found
warning,course_without_grade_data,FUT4005,Lego-H인문캡스톤디자인2:현장커뮤니케이션및과제,,,parse_status=not_found
warning,course_without_grade_data,GEN2100,기독교영성의 이해,,,parse_status=not_found
warning,course_without_grade_data,GEN3082,보건학,,,parse_status=not_found
warning,course_without_grade_data,GEN3095,Relational dialogue,,,parse_status=not_found
warning,course_without_grade_data,GEN6061,특허실무,,,parse_status=not_found
warning,course_without_grade_data,GEN7036,스페인어회화,,,parse_status=not_found
warning,course_without_grade_data,GEN9027,Intensive Korean,,,parse_status=not_found
warning,course_without_grade_data,GEN9181,블록체인과미래사회비즈니스,,,parse_status=not_found
warning,course_without_grade_data,GER3069,독일현대소설,,,parse_status=not_found
warning,course_without_grade_data,GER3080,독일어어휘연습,,,parse_status=not_found
warning,course_without_grade_data,GER3099,독일어텍스트의이해,,,parse_status=not_found
warning,course_without_grade_data,GER3104,독영언어대조,,,parse_status=not_found
warning,course_without_grade_data,GER4089,유럽지성사,,,parse_status=not_found
warning,course_without_grade_data,HIC1002,Make Core,,,parse_status=not_found
warning,course_without_grade_data,HIC1003,Life Project,,,parse_status=not_found
warning,course_without_grade_data,HIC1004,Unified Systems Science,,,parse_status=not_found
warning,course_without_grade_data,HIC1005,Mathematical Thinking,,,parse_status=not_found
warning,course_without_grade_data,HIC1006,"Algorithmic, Computational, and Data Thinking",,,parse_status=not_found
warning,course_without_grade_data,HIC1007,Global Critical Anthropology,,,parse_status=not_found
warning,course_without_grade_data,HIC1008,Global Research Immersion,,,parse_status=not_found
warning,course_without_grade_data,HIC1009,Unified Systems Science_StreamⅠ,,,parse_status=not_found
warning,course_without_grade_data,HIC1010,Unified Systems Science_StreamⅡ,,,parse_status=not_found
warning,course_without_grade_data,HIC1011,Unified Systems Science_Lab(Biochem),,,parse_status=not_found
warning,course_without_grade_data,HIC1012,Unified Systems Science_Lab(Physics),,,parse_status=not_found
warning,course_without_grade_data,HIC2004,디자인과혁신심리학,,,parse_status=not_found
warning,course_without_grade_data,HIC2005,마인드이론과fMRI,,,parse_status=not_found
warning,course_without_grade_data,HIC2006,머신러닝기초와응용,,,parse_status=not_found
warning,course_without_grade_data,HIC2007,미래사회와우주자원개발,,,parse_status=not_found
