course_no,course_name,canonical_dept_code,canonical_dept_name,opening_dept,year_term_range,first_year,first_term,latest_year,latest_term,grade_row_count,term_count,department_count,pdf_path,parse_status
SYB9119,그림으로배우는사이버일본어,H0002256,서울 대학,대학(학부/서울),2020/1 ~ 2027/2,2020,1,2022,1,19,5,1,outputs/pdfs_seoul_university/서울_대학__SYB9119__그림으로배우는사이버일본어.pdf,ok
SYB9120,기초영어학습전략,H0002256,서울 대학,대학(학부/서울),2020/1 ~ 2027/2,2020,1,2021,1,6,2,1,outputs/pdfs_seoul_university/서울_대학__SYB9120__기초영어학습전략.pdf,ok
SYB9121,외국문화와관광영어,H0002256,서울 대학,대학(학부/서울),2020/1 ~ 2027/2,2020,1,2021,1,5,2,1,outputs/pdfs_seoul_university/서울_대학__SYB9121__외국문화와관광영어.pdf,ok
SYB9122,공동주거관리론,H0002256,서울 대학,대학(학부/서울),2020/1 ~ 2027/2,2020,1,2021,1,8,2,1,outputs/pdfs_seoul_university/서울_대학__SYB9122__공동주거관리론.pdf,ok
SYB9123,크리에이터영상제작론,H0002256,서울 대학,대학(학부/서울),2020/1 ~ 2027/2,2020,1,2020,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9123__크리에이터영상제작론.pdf,ok
SYB9124,세계도시건축,H0002256,서울 대학,대학(학부/서울),2020/2 ~ 2027/2,2022,2,2025,2,14,4,1,outputs/pdfs_seoul_university/서울_대학__SYB9124__세계도시건축.pdf,ok
SYB9125,사회복지실천과현장,H0002256,서울 대학,대학(학부/서울),2020/2 ~ 2027/2,2020,2,2025,1,26,5,1,outputs/pdfs_seoul_university/서울_대학__SYB9125__사회복지실천과현장.pdf,ok
SYB9127,글로벌영어의역사,H0002256,서울 대학,대학(학부/서울),2020/2 ~ 2027/2,2020,2,2021,2,8,2,1,outputs/pdfs_seoul_university/서울_대학__SYB9127__글로벌영어의역사.pdf,ok
SYB9128,비즈니스모델디자인과린스타트업활동,H0002256,서울 대학,대학(학부/서울),2020/2 ~ 2027/2,2023,2,2026,1,20,4,1,outputs/pdfs_seoul_university/서울_대학__SYB9128__비즈니스모델디자인과린스타트업활동.pdf,ok
SYB9129,언어의품격:언어바르고품위있게사용하기,H0002256,서울 대학,대학(학부/서울),2025/2 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9129__언어의품격_언어바르고품위있게사용하기.pdf,not_found
SYB9130,빅데이터시대의ESG트렌드,H0002256,서울 대학,대학(학부/서울),2025/2 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9130__빅데이터시대의ESG트렌드.pdf,not_found
SYB9131,AI와첫만남-우린Data로말해,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,6,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9131__AI와첫만남-우린Data로말해.pdf,ok
SYB9132,서비스기획실전:AI활용하기,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,7,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9132__서비스기획실전_AI활용하기.pdf,ok
SYB9133,나도콘텐츠크리에이터:AI로배우는창작,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,6,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9133__나도콘텐츠크리에이터_AI로배우는창작.pdf,ok
SYB9134,코딩없이배우는데이터분석실무:노코드AI,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9134__코딩없이배우는데이터분석실무_노코드AI.pdf,ok
SYB9135,아이디어를현실로:바이브코딩,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9135__아이디어를현실로_바이브코딩.pdf,ok
SYB9136,알고리즘및컴퓨터적사고,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9136__알고리즘및컴퓨터적사고.pdf,not_found
SYB9137,통계적학습및인공지능,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9137__통계적학습및인공지능.pdf,ok
SYB9138,현실속의수학,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB9138__현실속의수학.pdf,ok
SYB9139,전자기학과미래산업,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9139__전자기학과미래산업.pdf,not_found
SYB9140,일상속의역학:힘과운동의비밀,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9140__일상속의역학_힘과운동의비밀.pdf,not_found
SYB9141,생화학으로읽는몸과세계,H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,,,,,0,0,1,outputs/pdfs_seoul_university/서울_대학__SYB9141__생화학으로읽는몸과세계.pdf,not_found
SYB9142,"세상속의화학:물질,에너지,환경",H0002256,서울 대학,대학(학부/서울),2026/1 ~ 2027/2,2026,1,2026,1,5,1,1,"outputs/pdfs_seoul_university/서울_대학__SYB9142__세상속의화학_물질,에너지,환경.pdf",ok
