campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0003561,물리학과,PHY3029,열및통계물리학1,2026,1,2015/1 ~ 2029/2,물리학과,21.62,16.22,18.92,18.92,21.62,2.7,,,,,,,8,6,7,7,8,1,,,,,,,ok,outputs/pdfs_full/물리학과__PHY3029__열및통계물리학1.pdf,,37
H0002256,H0003561,물리학과,PHY3030,열및통계물리학2,2025,2,2015/1 ~ 2029/2,물리학과,14.29,47.62,19.05,9.52,4.76,,,4.76,,,,,3,10,4,2,1,,,1,,,,,ok,outputs/pdfs_full/물리학과__PHY3030__열및통계물리학2.pdf,,21
H0002256,H0003561,물리학과,PHY3031,현대물리학실험,2025,2,2014/1 ~ 2028/2,물리학과,34.48,24.14,17.24,13.79,3.45,6.9,,,,,,,10,7,5,4,1,2,,,,,,,ok,outputs/pdfs_full/물리학과__PHY3031__현대물리학실험.pdf,,29
H0002256,H0003561,물리학과,PHY3032,양자역학1,2026,1,2015/1 ~ 2029/2,물리학과,18.42,18.42,26.32,18.42,7.89,5.26,2.63,,,,2.63,,7,7,10,7,3,2,1,,,,1,,ok,outputs/pdfs_full/물리학과__PHY3032__양자역학1.pdf,,38
H0002256,H0003561,물리학과,PHY3033,양자역학2,2025,2,2015/1 ~ 2029/2,물리학과,30.77,15.38,15.38,19.23,7.69,11.54,,,,,,,8,4,4,5,2,3,,,,,,,ok,outputs/pdfs_full/물리학과__PHY3033__양자역학2.pdf,,26
H0002256,H0003561,물리학과,PHY3063,고급수리물리학,2021,1,2015/1 ~ 2021/2,물리학과,25.81,3.23,41.94,9.68,9.68,9.68,,,,,,,8,1,13,3,3,3,,,,,,,ok,outputs/pdfs_full/물리학과__PHY3063__고급수리물리학.pdf,,31
H0002256,H0003561,물리학과,PHY3071,응집물질물리학1,2026,1,2016/1 ~ 2030/2,물리학과,30.43,26.09,21.74,13.04,,,4.35,4.35,,,,,7,6,5,3,,,1,1,,,,,ok,outputs/pdfs_full/물리학과__PHY3071__응집물질물리학1.pdf,,23
H0002256,H0003561,물리학과,PHY3072,응집물질물리학2,2025,2,2016/1 ~ 2030/2,물리학과,33.33,16.67,25,16.67,8.33,,,,,,,,4,2,3,2,1,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY3072__응집물질물리학2.pdf,,12
H0002256,H0003561,물리학과,PHY4009,상대성이론,2025,2,2015/1 ~ 2029/2,물리학과,22.73,22.73,27.27,18.18,9.09,,,,,,,,5,5,6,4,2,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4009__상대성이론.pdf,,22
H0002256,H0003561,물리학과,PHY4014,플라즈마물리학,2022,1,2016/1 ~ 2030/2,물리학과,28.57,14.29,42.86,14.29,,,,,,,,,4,2,6,2,,,,,,,,,ok,outputs/pdfs_full/물리학과__PHY4014__플라즈마물리학.pdf,,14
